ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_8,8,0.6666666666666666,0.9629231595916175,0.7878654649373488
work_dir/clustering_space/cls_kmeans/S_7,7,0.6518518518518519,0.9908651262761956,0.7863768087849036
work_dir/clustering_space/cls_kmeans/S_6,6,0.6330935251798561,1.0,0.7753303964757708
work_dir/clustering_space/cls_kmeans/S_3,3,0.6330935251798561,1.0,0.7753303964757708
work_dir/clustering_space/cls_kmeans/S_4,4,0.6353790613718412,0.9940891993551854,0.7752510160883634
work_dir/clustering_space/cls_hierarchical/S_6,6,0.624113475177305,1.0,0.7685589519650655
work_dir/clustering_space/cls_hierarchical/S_5,5,0.624113475177305,1.0,0.7685589519650655
work_dir/clustering_space/cls_hierarchical/S_4,4,0.624113475177305,1.0,0.7685589519650655
work_dir/clustering_space/cls_hierarchical/S_3,3,0.624113475177305,1.0,0.7685589519650655
work_dir/clustering_space/cls_hierarchical/S_7,7,0.624113475177305,0.9978506179473401,0.7679233091716497
work_dir/clustering_space/cls_kmeans/S_5,5,0.6175438596491228,1.0,0.7635574837310195
work_dir/clustering_space/cls_hierarchical/S_8,8,0.6308243727598566,0.9527135948414831,0.759053421113764
work_dir/clustering_space/cls_kmeans/S_2,2,0.6048109965635738,1.0,0.753747323340471
work_dir/clustering_space/cls_kmeans/S_10,10,0.6717557251908397,0.8452444922084901,0.7485797566996818
work_dir/clustering_space/cls_hierarchical/S_2,2,0.5945945945945946,1.0,0.7457627118644068
work_dir/clustering_space/cls_kmeans/S_9,9,0.6717557251908397,0.830198817839871,0.742620089959936
work_dir/clustering_space/cls_hierarchical/S_9,9,0.64,0.8790972595378829,0.7407323561039109
work_dir/clustering_space/cls_kmeans/S_12,12,0.6743295019157088,0.8065556152606126,0.7345394183487489
work_dir/clustering_space/cls_hierarchical/S_10,10,0.64,0.8570660934981192,0.7327963704756572
work_dir/clustering_space/cls_hierarchical/S_11,11,0.64,0.8436324556689951,0.7278416828441457
work_dir/clustering_space/cls_kmeans/S_16,16,0.6929133858267716,0.7474476088124664,0.7191481236689431
work_dir/clustering_space/cls_kmeans/S_11,11,0.6446886446886447,0.7984954325631382,0.7133960889999374
work_dir/clustering_space/cls_kmeans/S_13,13,0.6821705426356589,0.7324019344438474,0.70639438154272
work_dir/clustering_space/cls_kmeans/S_19,19,0.6641509433962264,0.7409994626544868,0.7004737571990747
work_dir/clustering_space/cls_kmeans/S_14,14,0.6567164179104478,0.7436861902203117,0.6975007445078231
work_dir/clustering_space/cls_kmeans/S_15,15,0.6376811594202898,0.7372380440623321,0.6838551814762789
work_dir/clustering_space/cls_kmeans/S_17,17,0.6717557251908397,0.6958624395486298,0.6835966204077226
work_dir/clustering_space/cls_hierarchical/S_12,12,0.64,0.7168189145620634,0.6762348319234546
work_dir/clustering_space/cls_hierarchical/S_14,14,0.6641509433962264,0.677055346587856,0.6705410651975399
work_dir/clustering_space/cls_hierarchical/S_13,13,0.6494464944649446,0.6926383664696399,0.6703474156207755
work_dir/clustering_space/cls_hierarchical/S_15,15,0.6641509433962264,0.6765180010746911,0.6702774320107809
work_dir/clustering_space/cls_hierarchical/S_16,16,0.6692015209125475,0.6679204728640515,0.6685603832254811
work_dir/clustering_space/cls_hierarchical/S_17,17,0.6692015209125475,0.6507254164427727,0.659834156051818
work_dir/clustering_space/cls_hierarchical/S_18,18,0.6692015209125475,0.6109618484685653,0.6387569086785612
work_dir/clustering_space/cls_hierarchical/S_19,19,0.6692015209125475,0.5916174099946265,0.6280224080739071
work_dir/clustering_space/cls_kmeans/S_18,18,0.676923076923077,0.5464803868887694,0.6047476501631878
