ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_5,5,0.7619047619047619,1.0,0.8648648648648648
work_dir/clustering_space\cls_hierarchical\S_6,6,0.7619047619047619,0.9621014113957136,0.8503793758166867
work_dir/clustering_space\cls_hierarchical\S_4,4,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_kmeans\S_4,4,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_3,3,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_kmeans\S_3,3,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_kmeans\S_5,5,0.7741935483870968,0.900810245687402,0.8327162995084703
work_dir/clustering_space\cls_kmeans\S_2,2,0.676056338028169,1.0,0.8067226890756303
work_dir/clustering_space\cls_dbscan\S_20,20,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_19,19,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_18,18,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_17,17,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_16,16,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_15,15,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_14,14,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_13,13,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_12,12,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_11,11,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_10,10,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_9,9,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_8,8,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_7,7,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_6,6,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_5,5,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_4,4,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_3,3,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_2,2,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_kmeans\S_7,7,0.7868852459016393,0.7821484579194982,0.7845097019174446
work_dir/clustering_space\cls_hierarchical\S_7,7,0.7619047619047619,0.7944328280188186,0.7778288702912141
work_dir/clustering_space\cls_kmeans\S_6,6,0.75,0.7394145321484579,0.7446696499078705
work_dir/clustering_space\cls_hierarchical\S_8,8,0.7619047619047619,0.711186617877679,0.7356725837931005
work_dir/clustering_space\cls_kmeans\S_10,10,0.8,0.45569785676947205,0.5806465041733447
work_dir/clustering_space\cls_hierarchical\S_9,9,0.7741935483870968,0.4619707266074229,0.578652470901979
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8135593220338984,0.3980658651332985,0.5345715800442405
work_dir/clustering_space\cls_kmeans\S_8,8,0.8275862068965517,0.38695765812859384,0.527343358674963
work_dir/clustering_space\cls_kmeans\S_9,9,0.8135593220338984,0.20491374803972817,0.3273714245946134
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8571428571428571,0.20190799790904337,0.32682849436776135
work_dir/clustering_space\cls_kmeans\S_13,13,0.8571428571428571,0.1986408782017773,0.32253501202433155
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8571428571428571,0.1478044955567172,0.25213175054338743
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8727272727272727,0.13081547307893363,0.22752639392353757
work_dir/clustering_space\cls_kmeans\S_12,12,0.9056603773584906,0.11892315734448511,0.2102395517969995
work_dir/clustering_space\cls_kmeans\S_11,11,0.8421052631578947,0.11892315734448511,0.20841385036000057
work_dir/clustering_space\cls_hierarchical\S_14,14,0.9056603773584906,0.08102456874019864,0.14874199062365676
