ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_6,6,0.6505576208178439,1.0,0.7882882882882882
work_dir/clustering_space\cls_hierarchical\S_5,5,0.6505576208178439,1.0,0.7882882882882882
work_dir/clustering_space\cls_hierarchical\S_7,7,0.6505576208178439,0.9973118279569892,0.7874517128666638
work_dir/clustering_space\cls_kmeans\S_9,9,0.6782945736434108,0.9381720430107527,0.7873432081576878
work_dir/clustering_space\cls_hierarchical\S_8,8,0.6505576208178439,0.9967741935483871,0.7872840701458096
work_dir/clustering_space\cls_kmeans\S_6,6,0.6481481481481481,0.9994623655913979,0.786350506991528
work_dir/clustering_space\cls_kmeans\S_5,5,0.6481481481481481,0.9994623655913979,0.786350506991528
work_dir/clustering_space\cls_kmeans\S_8,8,0.660377358490566,0.9602150537634409,0.7825586199126178
work_dir/clustering_space\cls_kmeans\S_7,7,0.6505576208178439,0.9758064516129032,0.780659551328135
work_dir/clustering_space\cls_kmeans\S_3,3,0.631768953068592,1.0,0.7743362831858407
work_dir/clustering_space\cls_kmeans\S_10,10,0.6782945736434108,0.9005376344086021,0.7737741701313272
work_dir/clustering_space\cls_kmeans\S_4,4,0.6294964028776978,1.0,0.7726269315673289
work_dir/clustering_space\cls_hierarchical\S_9,9,0.660377358490566,0.9236559139784947,0.770137172278648
work_dir/clustering_space\cls_hierarchical\S_4,4,0.6183745583038869,1.0,0.7641921397379913
work_dir/clustering_space\cls_hierarchical\S_3,3,0.6183745583038869,1.0,0.7641921397379913
work_dir/clustering_space\cls_kmeans\S_12,12,0.6782945736434108,0.867741935483871,0.7614110568369294
work_dir/clustering_space\cls_kmeans\S_2,2,0.6118881118881119,1.0,0.7592190889370932
work_dir/clustering_space\cls_kmeans\S_13,13,0.68359375,0.8440860215053764,0.755409529570262
work_dir/clustering_space\cls_hierarchical\S_2,2,0.603448275862069,1.0,0.7526881720430108
work_dir/clustering_space\cls_kmeans\S_16,16,0.6862745098039216,0.7956989247311828,0.7369469341300328
work_dir/clustering_space\cls_kmeans\S_11,11,0.6862745098039216,0.7903225806451613,0.7346326836581709
work_dir/clustering_space\cls_hierarchical\S_11,11,0.6679389312977099,0.8091397849462365,0.731790333560245
work_dir/clustering_space\cls_hierarchical\S_10,10,0.6628787878787878,0.8096774193548387,0.7289609505949516
work_dir/clustering_space\cls_dbscan\S_20,20,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_19,19,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_18,18,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_17,17,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_16,16,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_15,15,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_14,14,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_13,13,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_12,12,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_11,11,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_10,10,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_9,9,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_8,8,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_7,7,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_6,6,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_5,5,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_4,4,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_3,3,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_2,2,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_kmeans\S_14,14,0.6809338521400778,0.7704301075268817,0.7229226513842265
work_dir/clustering_space\cls_hierarchical\S_13,13,0.7028112449799196,0.7258064516129032,0.7141237814554523
work_dir/clustering_space\cls_hierarchical\S_12,12,0.68359375,0.7473118279569892,0.7140341092552911
work_dir/clustering_space\cls_hierarchical\S_15,15,0.7028112449799196,0.7129032258064516,0.7078212648358789
work_dir/clustering_space\cls_hierarchical\S_14,14,0.7028112449799196,0.7129032258064516,0.7078212648358789
work_dir/clustering_space\cls_hierarchical\S_17,17,0.7028112449799196,0.7059139784946237,0.7043591948341372
work_dir/clustering_space\cls_hierarchical\S_16,16,0.7028112449799196,0.7059139784946237,0.7043591948341372
work_dir/clustering_space\cls_kmeans\S_19,19,0.7172131147540983,0.6752688172043011,0.6956092435645068
work_dir/clustering_space\cls_kmeans\S_20,20,0.7028112449799196,0.6317204301075269,0.6653723253650446
work_dir/clustering_space\cls_kmeans\S_17,17,0.6944444444444444,0.6118279569892473,0.6505236200667672
work_dir/clustering_space\cls_hierarchical\S_18,18,0.7028112449799196,0.5591397849462365,0.6227971118639428
work_dir/clustering_space\cls_hierarchical\S_19,19,0.7028112449799196,0.5532258064516129,0.6191112234215371
work_dir/clustering_space\cls_kmeans\S_15,15,0.6862745098039216,0.5618279569892473,0.6178470374593521
work_dir/clustering_space\cls_kmeans\S_18,18,0.6889763779527559,0.5473118279569893,0.6100275308523606
work_dir/clustering_space\cls_hierarchical\S_20,20,0.7028112449799196,0.5365591397849462,0.6085344650367072
