ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_6,6,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_3,3,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_3,3,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_2,2,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_6,6,0.98,0.9796431264136718,0.9798215307114405
work_dir/clustering_space\cls_hierarchical\S_7,7,0.98,0.972606182457904,0.9762890923646811
work_dir/clustering_space\cls_kmeans\S_9,9,0.98989898989899,0.9421965317919075,0.9654588861019613
work_dir/clustering_space\cls_kmeans\S_7,7,0.98,0.9336516712741895,0.9562645611878515
work_dir/clustering_space\cls_kmeans\S_2,2,0.8990825688073395,1.0,0.9468599033816426
work_dir/clustering_space\cls_dbscan\S_20,20,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_19,19,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_18,18,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_17,17,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_16,16,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_15,15,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_14,14,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_13,13,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_12,12,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_11,11,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_10,10,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_9,9,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_8,8,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_7,7,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_6,6,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_5,5,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_4,4,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_3,3,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_2,2,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_hierarchical\S_8,8,0.98,0.8869062578537321,0.9311320576919453
work_dir/clustering_space\cls_kmeans\S_15,15,0.98989898989899,0.8172907765770294,0.8953518099706417
work_dir/clustering_space\cls_kmeans\S_8,8,0.98,0.7562201558180447,0.8536886871383037
work_dir/clustering_space\cls_hierarchical\S_9,9,0.98,0.7514450867052023,0.8506376443880617
work_dir/clustering_space\cls_hierarchical\S_11,11,0.98,0.7451621010304097,0.8465973818618324
work_dir/clustering_space\cls_hierarchical\S_10,10,0.98,0.7451621010304097,0.8465973818618324
work_dir/clustering_space\cls_kmeans\S_10,10,0.98,0.7351093239507414,0.840071390682285
work_dir/clustering_space\cls_kmeans\S_13,13,0.98,0.7298316159839155,0.8366145262235758
work_dir/clustering_space\cls_kmeans\S_14,14,0.98989898989899,0.6647398843930635,0.7953703376971664
work_dir/clustering_space\cls_kmeans\S_11,11,0.98989898989899,0.6076903744659462,0.7530747278031665
work_dir/clustering_space\cls_kmeans\S_16,16,0.98989898989899,0.570243779844182,0.7236308786751127
work_dir/clustering_space\cls_hierarchical\S_12,12,0.98989898989899,0.5242523247046996,0.68547554220261
work_dir/clustering_space\cls_kmeans\S_18,18,0.98989898989899,0.524001005277708,0.6852606743947
work_dir/clustering_space\cls_kmeans\S_12,12,0.98989898989899,0.5106810756471475,0.6737696875370066
work_dir/clustering_space\cls_hierarchical\S_13,13,0.98989898989899,0.43327469213370196,0.6027348390526169
work_dir/clustering_space\cls_kmeans\S_19,19,0.98989898989899,0.39783865292787135,0.5675713744765933
work_dir/clustering_space\cls_kmeans\S_20,20,1.0,0.32973108821311886,0.49593649593649597
work_dir/clustering_space\cls_hierarchical\S_14,14,0.98989898989899,0.32470469967328475,0.4890064690547456
work_dir/clustering_space\cls_kmeans\S_17,17,0.98989898989899,0.2920331741643629,0.4510119212642084
work_dir/clustering_space\cls_hierarchical\S_15,15,0.98989898989899,0.2259361648655441,0.3679018171264639
work_dir/clustering_space\cls_hierarchical\S_16,16,0.98989898989899,0.19251068107564714,0.32233519975267083
work_dir/clustering_space\cls_hierarchical\S_17,17,0.98989898989899,0.15757728072379995,0.27187593332079685
work_dir/clustering_space\cls_hierarchical\S_19,19,0.98989898989899,0.14928373963307365,0.25944182481036127
work_dir/clustering_space\cls_hierarchical\S_18,18,0.98989898989899,0.14928373963307365,0.25944182481036127
work_dir/clustering_space\cls_hierarchical\S_20,20,0.98989898989899,0.11937672782106057,0.21305956742728857
