ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_11,11,0.9646017699115044,0.998730561726436,0.9813695338092036
work_dir/clustering_space\cls_kmeans\S_6,6,0.9646017699115044,0.998730561726436,0.9813695338092036
work_dir/clustering_space\cls_kmeans\S_5,5,0.956140350877193,0.9988212358888334,0.9770148870558228
work_dir/clustering_space\cls_kmeans\S_4,4,0.9396551724137931,0.9989119100512309,0.9683778823602466
work_dir/clustering_space\cls_kmeans\S_7,7,0.9396551724137931,0.998730561726436,0.9682926588295735
work_dir/clustering_space\cls_hierarchical\S_4,4,0.9159663865546218,0.9999093258376026,0.9560989015578001
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space\cls_kmeans\S_3,3,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space\cls_kmeans\S_10,10,0.956140350877193,0.9139048828036451,0.9345456672107354
work_dir/clustering_space\cls_hierarchical\S_5,5,0.923728813559322,0.9201160629278687,0.9219188989092155
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8257575757575758,1.0,0.9045643153526972
work_dir/clustering_space\cls_dbscan\S_20,20,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_19,19,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_18,18,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_17,17,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_16,16,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_15,15,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_14,14,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_13,13,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_12,12,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_11,11,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_10,10,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_9,9,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_8,8,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_7,7,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_6,6,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_5,5,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_4,4,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_3,3,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_2,2,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_2,2,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_12,12,0.9732142857142857,0.8309380242100014,0.8964661700189973
work_dir/clustering_space\cls_kmeans\S_15,15,0.956140350877193,0.8026023484608061,0.8726694261315521
work_dir/clustering_space\cls_kmeans\S_16,16,0.9819819819819819,0.7773042571519245,0.8677368788115454
work_dir/clustering_space\cls_kmeans\S_9,9,0.9646017699115044,0.7757174593099696,0.8599094024104795
work_dir/clustering_space\cls_kmeans\S_17,17,0.9732142857142857,0.749013918483928,0.8465208546584667
work_dir/clustering_space\cls_kmeans\S_8,8,0.956140350877193,0.7240785238246362,0.824083938415686
work_dir/clustering_space\cls_kmeans\S_13,13,0.9732142857142857,0.7077571745930997,0.8195253868317662
work_dir/clustering_space\cls_kmeans\S_18,18,0.9819819819819819,0.6716688579589246,0.7977097709425152
work_dir/clustering_space\cls_hierarchical\S_7,7,0.923728813559322,0.668767284762207,0.7758381463562688
work_dir/clustering_space\cls_hierarchical\S_6,6,0.923728813559322,0.668767284762207,0.7758381463562688
work_dir/clustering_space\cls_kmeans\S_14,14,0.9732142857142857,0.6335403726708074,0.7674731646705554
work_dir/clustering_space\cls_hierarchical\S_10,10,0.9316239316239316,0.6398875640386272,0.7586766878286083
work_dir/clustering_space\cls_hierarchical\S_9,9,0.923728813559322,0.6434238563721267,0.7585083021788638
work_dir/clustering_space\cls_hierarchical\S_8,8,0.923728813559322,0.6434238563721267,0.7585083021788638
work_dir/clustering_space\cls_hierarchical\S_12,12,0.9316239316239316,0.6395248673890375,0.7584216997174823
work_dir/clustering_space\cls_hierarchical\S_11,11,0.9316239316239316,0.6395248673890375,0.7584216997174823
work_dir/clustering_space\cls_hierarchical\S_13,13,0.9316239316239316,0.6255157092986353,0.7484818818742097
work_dir/clustering_space\cls_kmeans\S_20,20,0.9316239316239316,0.546901210500068,0.6892087816701192
work_dir/clustering_space\cls_hierarchical\S_14,14,0.9316239316239316,0.5129890737634311,0.6616483390324425
work_dir/clustering_space\cls_kmeans\S_19,19,0.9646017699115044,0.4674253071587251,0.6297077559583363
work_dir/clustering_space\cls_hierarchical\S_15,15,0.9316239316239316,0.41129800063471916,0.5706587273854706
work_dir/clustering_space\cls_hierarchical\S_17,17,0.9316239316239316,0.41093530398512945,0.5703095303173348
work_dir/clustering_space\cls_hierarchical\S_16,16,0.9316239316239316,0.41093530398512945,0.5703095303173348
work_dir/clustering_space\cls_hierarchical\S_19,19,0.9646017699115044,0.36677698689758353,0.5314696947278238
work_dir/clustering_space\cls_hierarchical\S_18,18,0.9646017699115044,0.36677698689758353,0.5314696947278238
work_dir/clustering_space\cls_hierarchical\S_20,20,0.9646017699115044,0.344471142947817,0.5076531198634786
