ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_6,6,0.967741935483871,0.9949238578680203,0.9811446687802436
work_dir/clustering_space\cls_kmeans\S_5,5,0.9375,1.0,0.967741935483871
work_dir/clustering_space\cls_hierarchical\S_4,4,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_4,4,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_3,3,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_3,3,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_8,8,0.9836065573770492,0.8824365482233503,0.9302790194896238
work_dir/clustering_space\cls_kmeans\S_9,9,1.0,0.863756345177665,0.9268983549406253
work_dir/clustering_space\cls_kmeans\S_7,7,0.9836065573770492,0.8698477157360406,0.9232360674108876
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8333333333333334,1.0,0.9090909090909091
work_dir/clustering_space\cls_kmeans\S_2,2,0.8333333333333334,1.0,0.9090909090909091
work_dir/clustering_space\cls_dbscan\S_20,20,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_19,19,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_18,18,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_17,17,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_16,16,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_15,15,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_14,14,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_13,13,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_12,12,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_11,11,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_10,10,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_9,9,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_8,8,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_7,7,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_6,6,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_5,5,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_4,4,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_3,3,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_2,2,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_hierarchical\S_5,5,0.9230769230769231,0.774010152284264,0.8419967604182005
work_dir/clustering_space\cls_hierarchical\S_6,6,0.9375,0.6371573604060914,0.7586857184304056
work_dir/clustering_space\cls_kmeans\S_10,10,0.9836065573770492,0.582741116751269,0.7318783602864611
work_dir/clustering_space\cls_hierarchical\S_7,7,0.9523809523809523,0.4826395939086294,0.6406274213870379
work_dir/clustering_space\cls_hierarchical\S_8,8,0.967741935483871,0.4728934010152284,0.6353290990184088
work_dir/clustering_space\cls_hierarchical\S_9,9,0.967741935483871,0.45908629441624366,0.6227477839341538
work_dir/clustering_space\cls_hierarchical\S_10,10,1.0,0.31614213197969543,0.4804072817031781
work_dir/clustering_space\cls_kmeans\S_11,11,0.9836065573770492,0.3033502538071066,0.46369434659134995
work_dir/clustering_space\cls_hierarchical\S_11,11,1.0,0.26741116751269034,0.4219801345722524
work_dir/clustering_space\cls_hierarchical\S_12,12,1.0,0.2215228426395939,0.3626994680851064
work_dir/clustering_space\cls_hierarchical\S_13,13,1.0,0.20101522842639594,0.33474218089602703
work_dir/clustering_space\cls_kmeans\S_13,13,0.967741935483871,0.19269035532994924,0.3213880532147272
work_dir/clustering_space\cls_kmeans\S_12,12,0.9836065573770492,0.10538071065989847,0.19036615223790268
work_dir/clustering_space\cls_hierarchical\S_15,15,1.0,0.09035532994923857,0.16573556797020483
work_dir/clustering_space\cls_hierarchical\S_14,14,1.0,0.09035532994923857,0.16573556797020483
work_dir/clustering_space\cls_kmeans\S_14,14,0.9836065573770492,0.0883248730964467,0.1620941823093763
work_dir/clustering_space\cls_hierarchical\S_18,18,1.0,0.08101522842639594,0.14988730277986478
work_dir/clustering_space\cls_hierarchical\S_17,17,1.0,0.08101522842639594,0.14988730277986478
work_dir/clustering_space\cls_hierarchical\S_16,16,1.0,0.08101522842639594,0.14988730277986478
work_dir/clustering_space\cls_kmeans\S_17,17,0.9836065573770492,0.0783756345177665,0.1451828263009096
work_dir/clustering_space\cls_hierarchical\S_20,20,1.0,0.07553299492385787,0.14045686237492921
work_dir/clustering_space\cls_hierarchical\S_19,19,1.0,0.07553299492385787,0.14045686237492921
work_dir/clustering_space\cls_kmeans\S_16,16,0.9836065573770492,0.061116751269035534,0.11508279142677809
work_dir/clustering_space\cls_kmeans\S_18,18,0.9836065573770492,0.05543147208121827,0.10494853485310086
work_dir/clustering_space\cls_kmeans\S_15,15,0.9836065573770492,0.05197969543147208,0.0987413054937708
work_dir/clustering_space\cls_kmeans\S_20,20,0.9836065573770492,0.0450761421319797,0.08620187547323667
work_dir/clustering_space\cls_kmeans\S_19,19,0.9836065573770492,0.0416243654822335,0.07986883329816075
