ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8421052631578947,0.9882075471698113,0.9093251949813496
work_dir/clustering_space\cls_kmeans\S_8,8,0.8333333333333334,0.9976415094339622,0.9081150708458566
work_dir/clustering_space\cls_kmeans\S_10,10,0.8333333333333334,0.9764150943396226,0.8992180712423978
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8247422680412371,0.9882075471698113,0.8991054544479166
work_dir/clustering_space\cls_kmeans\S_2,2,0.8163265306122449,1.0,0.898876404494382
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_4,4,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_3,3,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_6,6,0.8080808080808081,0.9834905660377359,0.8871986489900668
work_dir/clustering_space\cls_kmeans\S_5,5,0.8080808080808081,0.9787735849056604,0.8852743150456637
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8421052631578947,0.9316037735849056,0.8845965427951571
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_kmeans\S_12,12,0.8333333333333334,0.9410377358490566,0.8839167035888348
work_dir/clustering_space\cls_kmeans\S_9,9,0.8333333333333334,0.9339622641509434,0.8807829181494662
work_dir/clustering_space\cls_kmeans\S_7,7,0.8080808080808081,0.910377358490566,0.8561843236199296
work_dir/clustering_space\cls_dbscan\S_20,20,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_19,19,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_18,18,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_17,17,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_16,16,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_15,15,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_14,14,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_13,13,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_12,12,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_11,11,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_10,10,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_9,9,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_8,8,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_7,7,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_6,6,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_5,5,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_4,4,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_3,3,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_2,2,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_kmeans\S_11,11,0.8421052631578947,0.8254716981132075,0.8337055232990918
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8421052631578947,0.7712264150943396,0.8051088712779871
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8421052631578947,0.7028301886792453,0.7661899405431464
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8421052631578947,0.6698113207547169,0.7461412151067324
work_dir/clustering_space\cls_kmeans\S_14,14,0.8333333333333334,0.6108490566037735,0.7049537289058248
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8421052631578947,0.5707547169811321,0.6803725180108944
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8421052631578947,0.5636792452830188,0.6753200883002207
work_dir/clustering_space\cls_kmeans\S_13,13,0.8333333333333334,0.5566037735849056,0.6674208144796381
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8421052631578947,0.5471698113207547,0.6633309506790565
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8421052631578947,0.535377358490566,0.6545913309903576
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8421052631578947,0.5,0.6274509803921569
work_dir/clustering_space\cls_kmeans\S_15,15,0.8333333333333334,0.49764150943396224,0.6231541642055523
work_dir/clustering_space\cls_kmeans\S_17,17,0.8333333333333334,0.47641509433962265,0.6062424969987995
work_dir/clustering_space\cls_kmeans\S_16,16,0.8333333333333334,0.4693396226415094,0.6004828002414001
work_dir/clustering_space\cls_kmeans\S_19,19,0.8421052631578947,0.45990566037735847,0.5949089522356754
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8421052631578947,0.43160377358490565,0.570704609687165
work_dir/clustering_space\cls_kmeans\S_18,18,0.851063829787234,0.4221698113207547,0.564379458479486
work_dir/clustering_space\cls_kmeans\S_20,20,0.8333333333333334,0.41273584905660377,0.5520504731861198
work_dir/clustering_space\cls_hierarchical\S_19,19,0.8421052631578947,0.41037735849056606,0.5518334985133796
work_dir/clustering_space\cls_hierarchical\S_20,20,0.8421052631578947,0.4056603773584906,0.5475527258257064
