ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_6,6,1.0,1.0,1.0
work_dir/clustering_space\cls_kmeans\S_6,6,1.0,1.0,1.0
work_dir/clustering_space\cls_hierarchical\S_5,5,1.0,1.0,1.0
work_dir/clustering_space\cls_kmeans\S_5,5,1.0,1.0,1.0
work_dir/clustering_space\cls_hierarchical\S_4,4,1.0,1.0,1.0
work_dir/clustering_space\cls_kmeans\S_4,4,1.0,1.0,1.0
work_dir/clustering_space\cls_hierarchical\S_3,3,1.0,1.0,1.0
work_dir/clustering_space\cls_kmeans\S_3,3,1.0,1.0,1.0
work_dir/clustering_space\cls_hierarchical\S_2,2,0.9375,1.0,0.967741935483871
work_dir/clustering_space\cls_kmeans\S_2,2,0.8823529411764706,1.0,0.9375
work_dir/clustering_space\cls_dbscan\S_20,20,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_19,19,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_18,18,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_17,17,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_16,16,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_15,15,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_14,14,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_13,13,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_12,12,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_11,11,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_10,10,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_9,9,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_8,8,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_7,7,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_6,6,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_5,5,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_4,4,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_3,3,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_2,2,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_hierarchical\S_13,13,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_13,13,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_12,12,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_12,12,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_11,11,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_11,11,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_10,10,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_10,10,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_9,9,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_9,9,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_8,8,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_8,8,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_7,7,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_kmeans\S_7,7,1.0,0.025308955476553242,0.049368447122925777
work_dir/clustering_space\cls_hierarchical\S_20,20,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_20,20,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_19,19,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_19,19,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_18,18,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_18,18,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_17,17,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_17,17,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_16,16,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_16,16,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_15,15,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_15,15,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_hierarchical\S_14,14,1.0,0.02116133401049602,0.04144562334217507
work_dir/clustering_space\cls_kmeans\S_14,14,1.0,0.02116133401049602,0.04144562334217507
