ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_7,7,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_5,5,0.835820895522388,1.0,0.9105691056910569
work_dir/clustering_space\cls_kmeans\S_4,4,0.835820895522388,1.0,0.9105691056910569
work_dir/clustering_space\cls_kmeans\S_15,15,0.8593350383631714,0.9660447431249447,0.9095708244528061
work_dir/clustering_space\cls_kmeans\S_12,12,0.8379052369077307,0.9875320541161906,0.9065863657185047
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8379052369077307,0.9839066230435936,0.9050555989886405
work_dir/clustering_space\cls_kmeans\S_8,8,0.8379052369077307,0.9829339464143603,0.9046438683643886
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8379052369077307,0.9805464674153329,0.903631389412713
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8421052631578947,0.972676629233354,0.9026937201239151
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8421052631578947,0.9718808029003448,0.9023508554979436
work_dir/clustering_space\cls_kmeans\S_6,6,0.8379052369077307,0.9683437969758599,0.8984146963042543
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8421052631578947,0.951896719427005,0.8936414175610085
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8421052631578947,0.9502166416128747,0.8929003578124107
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8421052631578947,0.9502166416128747,0.8929003578124107
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8421052631578947,0.9502166416128747,0.8929003578124107
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8442211055276382,0.9436731806525775,0.891181119583263
work_dir/clustering_space\cls_kmeans\S_16,16,0.84,0.9486249889468565,0.8910140422275351
work_dir/clustering_space\cls_kmeans\S_14,14,0.84,0.947563887169511,0.8905456984619767
work_dir/clustering_space\cls_dbscan\S_20,20,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_19,19,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_18,18,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_17,17,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_16,16,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_15,15,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_14,14,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_13,13,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_12,12,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_11,11,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_10,10,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_9,9,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_8,8,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_7,7,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_6,6,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_5,5,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_4,4,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_3,3,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_3,3,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_2,2,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_2,2,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8442211055276382,0.9190909894774074,0.880066567245871
work_dir/clustering_space\cls_kmeans\S_10,10,0.8379052369077307,0.9051198160756919,0.8702165612831236
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8463476070528967,0.8923865947475462,0.8687575803692071
work_dir/clustering_space\cls_kmeans\S_11,11,0.8379052369077307,0.901582810151207,0.8685784986093539
work_dir/clustering_space\cls_kmeans\S_9,9,0.8379052369077307,0.8706340083119639,0.8539561464984182
work_dir/clustering_space\cls_kmeans\S_13,13,0.8379052369077307,0.8464055177292422,0.8421339279589055
