ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_4,4,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_3,3,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_2,2,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_dbscan\S_20,20,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_19,19,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_18,18,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_17,17,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_16,16,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_15,15,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_14,14,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_13,13,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_12,12,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_11,11,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_10,10,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_9,9,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_8,8,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_7,7,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_6,6,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_5,5,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_4,4,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_3,3,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_2,2,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_hierarchical\S_7,7,0.948051948051948,0.7403635224067691,0.8314340776487236
work_dir/clustering_space\cls_hierarchical\S_6,6,0.9125,0.7492948918834221,0.8228832477258423
work_dir/clustering_space\cls_hierarchical\S_5,5,0.9125,0.7492948918834221,0.8228832477258423
work_dir/clustering_space\cls_kmeans\S_7,7,0.948051948051948,0.6669539329363836,0.7830398425475643
work_dir/clustering_space\cls_kmeans\S_6,6,0.948051948051948,0.6669539329363836,0.7830398425475643
work_dir/clustering_space\cls_kmeans\S_5,5,0.948051948051948,0.6669539329363836,0.7830398425475643
work_dir/clustering_space\cls_kmeans\S_9,9,0.948051948051948,0.3532591664055155,0.5147240151216023
work_dir/clustering_space\cls_kmeans\S_10,10,0.948051948051948,0.339157004073958,0.49959015259602957
work_dir/clustering_space\cls_hierarchical\S_8,8,0.948051948051948,0.23965841429019116,0.38259938405657423
work_dir/clustering_space\cls_hierarchical\S_10,10,0.9605263157894737,0.1349890316515199,0.23671145739235172
work_dir/clustering_space\cls_hierarchical\S_9,9,0.9605263157894737,0.1349890316515199,0.23671145739235172
work_dir/clustering_space\cls_kmeans\S_14,14,0.948051948051948,0.09103729238483234,0.16612256008836263
work_dir/clustering_space\cls_kmeans\S_13,13,0.948051948051948,0.07317455343152617,0.13586266675965686
work_dir/clustering_space\cls_kmeans\S_8,8,0.948051948051948,0.07262613600752116,0.1349168769208225
work_dir/clustering_space\cls_kmeans\S_11,11,0.948051948051948,0.06957066750235036,0.12962881493538955
work_dir/clustering_space\cls_kmeans\S_15,15,0.9605263157894737,0.04136634283923535,0.07931680214013787
work_dir/clustering_space\cls_kmeans\S_20,20,0.948051948051948,0.03580382325289878,0.06900174877787212
work_dir/clustering_space\cls_kmeans\S_19,19,0.9358974358974359,0.03470698840488875,0.06693186357399056
work_dir/clustering_space\cls_kmeans\S_12,12,0.9358974358974359,0.03243497336258226,0.06269708235137916
work_dir/clustering_space\cls_hierarchical\S_11,11,0.9733333333333334,0.026402381698527107,0.05141022332236556
work_dir/clustering_space\cls_kmeans\S_18,18,0.9605263157894737,0.026402381698527107,0.05139212687907882
work_dir/clustering_space\cls_kmeans\S_16,16,0.9605263157894737,0.023816985271074897,0.046481427955043376
work_dir/clustering_space\cls_hierarchical\S_12,12,0.9733333333333334,0.018489501723597618,0.03628964308584139
work_dir/clustering_space\cls_hierarchical\S_14,14,0.9864864864864865,0.018019429645879034,0.03539237261696979
work_dir/clustering_space\cls_hierarchical\S_13,13,0.9864864864864865,0.018019429645879034,0.03539237261696979
work_dir/clustering_space\cls_kmeans\S_17,17,0.948051948051948,0.016922594797869006,0.033251652249463304
work_dir/clustering_space\cls_hierarchical\S_20,20,0.9864864864864865,0.009793168285803823,0.019393808008739435
work_dir/clustering_space\cls_hierarchical\S_19,19,0.9864864864864865,0.009793168285803823,0.019393808008739435
work_dir/clustering_space\cls_hierarchical\S_18,18,0.9864864864864865,0.009793168285803823,0.019393808008739435
work_dir/clustering_space\cls_hierarchical\S_17,17,0.9864864864864865,0.009793168285803823,0.019393808008739435
work_dir/clustering_space\cls_hierarchical\S_16,16,0.9864864864864865,0.009793168285803823,0.019393808008739435
work_dir/clustering_space\cls_hierarchical\S_15,15,0.9864864864864865,0.009793168285803823,0.019393808008739435
