ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_4,4,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space\cls_kmeans\S_3,3,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space\cls_kmeans\S_2,2,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space\cls_hierarchical\S_3,3,0.875,0.8415464636173522,0.8579472461391282
work_dir/clustering_space\cls_dbscan\S_20,20,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_19,19,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_18,18,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_17,17,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_16,16,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_15,15,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_14,14,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_13,13,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_12,12,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_11,11,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_10,10,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_9,9,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_8,8,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_7,7,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_6,6,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_5,5,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_4,4,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_3,3,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_dbscan\S_2,2,0.8235294117647058,0.656013727277602,0.7302884041410127
work_dir/clustering_space\cls_hierarchical\S_6,6,1.0,0.5354710708348973,0.6974681334031779
work_dir/clustering_space\cls_kmeans\S_6,6,1.0,0.5354710708348973,0.6974681334031779
work_dir/clustering_space\cls_hierarchical\S_5,5,0.875,0.5354710708348973,0.6643697934239727
work_dir/clustering_space\cls_kmeans\S_5,5,0.875,0.5354710708348973,0.6643697934239727
work_dir/clustering_space\cls_hierarchical\S_4,4,0.875,0.5354710708348973,0.6643697934239727
work_dir/clustering_space\cls_hierarchical\S_7,7,1.0,0.004557885141294439,0.009074410163339383
