ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_7,7,0.75,1.0,0.8571428571428571
work_dir/clustering_space\cls_kmeans\S_6,6,0.75,1.0,0.8571428571428571
work_dir/clustering_space\cls_kmeans\S_4,4,0.75,1.0,0.8571428571428571
work_dir/clustering_space\cls_hierarchical\S_5,5,0.72,1.0,0.8372093023255813
work_dir/clustering_space\cls_kmeans\S_3,3,0.72,1.0,0.8372093023255813
work_dir/clustering_space\cls_hierarchical\S_4,4,0.6923076923076923,1.0,0.8181818181818181
work_dir/clustering_space\cls_hierarchical\S_3,3,0.6923076923076923,1.0,0.8181818181818181
work_dir/clustering_space\cls_hierarchical\S_2,2,0.6923076923076923,1.0,0.8181818181818181
work_dir/clustering_space\cls_kmeans\S_2,2,0.6923076923076923,1.0,0.8181818181818181
work_dir/clustering_space\cls_dbscan\S_20,20,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_19,19,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_18,18,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_17,17,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_16,16,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_15,15,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_14,14,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_13,13,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_12,12,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_11,11,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_10,10,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_9,9,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_8,8,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_7,7,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_6,6,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_5,5,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_4,4,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_3,3,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_2,2,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_hierarchical\S_7,7,0.75,0.6086956521739131,0.672
work_dir/clustering_space\cls_hierarchical\S_6,6,0.72,0.6086956521739131,0.6596858638743456
work_dir/clustering_space\cls_kmeans\S_5,5,0.72,0.08967391304347826,0.1594844945630286
work_dir/clustering_space\cls_hierarchical\S_9,9,0.9,0.07142857142857142,0.1323529411764706
work_dir/clustering_space\cls_kmeans\S_9,9,0.782608695652174,0.07142857142857142,0.13090909090909092
work_dir/clustering_space\cls_hierarchical\S_8,8,0.782608695652174,0.07142857142857142,0.13090909090909092
work_dir/clustering_space\cls_kmeans\S_8,8,0.75,0.07142857142857142,0.13043478260869565
work_dir/clustering_space\cls_hierarchical\S_10,10,0.9,0.06327639751552795,0.11823970339324574
work_dir/clustering_space\cls_kmeans\S_10,10,0.782608695652174,0.06327639751552795,0.11708601871620408
work_dir/clustering_space\cls_hierarchical\S_11,11,1.0,0.04619565217391304,0.0883116883116883
work_dir/clustering_space\cls_kmeans\S_11,11,0.782608695652174,0.038431677018633544,0.07326549491211841
work_dir/clustering_space\cls_hierarchical\S_14,14,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space\cls_hierarchical\S_13,13,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space\cls_kmeans\S_13,13,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space\cls_hierarchical\S_12,12,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space\cls_kmeans\S_12,12,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space\cls_kmeans\S_16,16,1.0,0.02096273291925466,0.04106463878326996
work_dir/clustering_space\cls_hierarchical\S_15,15,1.0,0.02096273291925466,0.04106463878326996
work_dir/clustering_space\cls_kmeans\S_15,15,1.0,0.02096273291925466,0.04106463878326996
work_dir/clustering_space\cls_kmeans\S_14,14,1.0,0.019798136645962732,0.038827559954320516
work_dir/clustering_space\cls_hierarchical\S_17,17,1.0,0.019021739130434784,0.037333333333333336
work_dir/clustering_space\cls_kmeans\S_17,17,1.0,0.019021739130434784,0.037333333333333336
work_dir/clustering_space\cls_hierarchical\S_16,16,1.0,0.019021739130434784,0.037333333333333336
work_dir/clustering_space\cls_kmeans\S_18,18,1.0,0.01203416149068323,0.023782125047947834
work_dir/clustering_space\cls_hierarchical\S_20,20,1.0,0.010093167701863354,0.019984627209838585
work_dir/clustering_space\cls_kmeans\S_20,20,1.0,0.010093167701863354,0.019984627209838585
work_dir/clustering_space\cls_hierarchical\S_19,19,1.0,0.010093167701863354,0.019984627209838585
work_dir/clustering_space\cls_kmeans\S_19,19,1.0,0.010093167701863354,0.019984627209838585
work_dir/clustering_space\cls_hierarchical\S_18,18,1.0,0.010093167701863354,0.019984627209838585
