ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_12,12,0.6554307116104869,0.9935483870967742,0.7898245973946045
work_dir/clustering_space\cls_hierarchical\S_11,11,0.6529850746268657,0.9940860215053764,0.7882153192567404
work_dir/clustering_space\cls_hierarchical\S_14,14,0.6653992395437263,0.9612903225806452,0.7864338279647727
work_dir/clustering_space\cls_hierarchical\S_13,13,0.6653992395437263,0.9612903225806452,0.7864338279647727
work_dir/clustering_space\cls_kmeans\S_11,11,0.6433823529411765,0.989247311827957,0.7796798953969829
work_dir/clustering_space\cls_kmeans\S_13,13,0.6433823529411765,0.9854838709677419,0.778508292924439
work_dir/clustering_space\cls_kmeans\S_14,14,0.6481481481481481,0.9693548387096774,0.7768585884699191
work_dir/clustering_space\cls_kmeans\S_15,15,0.6481481481481481,0.9688172043010753,0.7766858775429781
work_dir/clustering_space\cls_hierarchical\S_10,10,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_9,9,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_8,8,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_7,7,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_6,6,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_kmeans\S_6,6,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_5,5,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_hierarchical\S_4,4,0.6340579710144928,1.0,0.7760532150776054
work_dir/clustering_space\cls_kmeans\S_9,9,0.6340579710144928,0.9989247311827957,0.7757292069263326
work_dir/clustering_space\cls_kmeans\S_7,7,0.6340579710144928,0.9978494623655914,0.7754047717951288
work_dir/clustering_space\cls_kmeans\S_10,10,0.6340579710144928,0.9967741935483871,0.7750799088394226
work_dir/clustering_space\cls_kmeans\S_8,8,0.6340579710144928,0.9967741935483871,0.7750799088394226
work_dir/clustering_space\cls_kmeans\S_5,5,0.631768953068592,1.0,0.7743362831858407
work_dir/clustering_space\cls_kmeans\S_4,4,0.6294964028776978,1.0,0.7726269315673289
work_dir/clustering_space\cls_kmeans\S_17,17,0.6505576208178439,0.9510752688172043,0.772623074993667
work_dir/clustering_space\cls_hierarchical\S_19,19,0.6944444444444444,0.8698924731182796,0.7723297819528773
work_dir/clustering_space\cls_kmeans\S_16,16,0.6505576208178439,0.9446236559139785,0.770485620817583
work_dir/clustering_space\cls_kmeans\S_19,19,0.660377358490566,0.9172043010752688,0.7678853894726013
work_dir/clustering_space\cls_hierarchical\S_15,15,0.6653992395437263,0.9075268817204301,0.767827158311716
work_dir/clustering_space\cls_hierarchical\S_17,17,0.6730769230769231,0.8903225806451613,0.766605824934529
work_dir/clustering_space\cls_kmeans\S_12,12,0.6340579710144928,0.9688172043010753,0.7664804849474754
work_dir/clustering_space\cls_hierarchical\S_18,18,0.6730769230769231,0.8897849462365591,0.7664064567345859
work_dir/clustering_space\cls_kmeans\S_20,20,0.6628787878787878,0.9080645161290323,0.7663379120451753
work_dir/clustering_space\cls_kmeans\S_18,18,0.6529850746268657,0.9263440860215054,0.7660073368018862
work_dir/clustering_space\cls_hierarchical\S_20,20,0.6944444444444444,0.8505376344086022,0.7646058075242625
work_dir/clustering_space\cls_hierarchical\S_16,16,0.6653992395437263,0.8924731182795699,0.7623871509552803
