ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_8,8,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_7,7,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_6,6,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_6,6,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_hierarchical\S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space\cls_kmeans\S_8,8,0.9702970297029703,0.9992460417190249,0.9845587845127969
work_dir/clustering_space\cls_kmeans\S_13,13,0.98,0.9869313897964312,0.983453481924047
work_dir/clustering_space\cls_kmeans\S_9,9,0.9702970297029703,0.9912038200552903,0.980639006654945
work_dir/clustering_space\cls_kmeans\S_7,7,0.9702970297029703,0.9899472229203318,0.9800236360105156
work_dir/clustering_space\cls_kmeans\S_12,12,0.9702970297029703,0.9819050012565972,0.9760665044503275
work_dir/clustering_space\cls_kmeans\S_11,11,0.9702970297029703,0.9791404875596884,0.9746986998332989
work_dir/clustering_space\cls_kmeans\S_10,10,0.9702970297029703,0.9791404875596884,0.9746986998332989
work_dir/clustering_space\cls_kmeans\S_20,20,0.9702970297029703,0.9718522241769288,0.9710740042715715
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8909090909090909,1.0,0.9423076923076923
work_dir/clustering_space\cls_kmeans\S_3,3,0.8909090909090909,1.0,0.9423076923076923
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8909090909090909,1.0,0.9423076923076923
work_dir/clustering_space\cls_dbscan\S_20,20,0.8828828828828829,1.0,0.937799043062201
work_dir/clustering_space\cls_dbscan\S_19,19,0.8828828828828829,1.0,0.937799043062201
