ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8384615384615385,0.9972344380468785,0.9109817004905111
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8384615384615385,0.9972344380468785,0.9109817004905111
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8384615384615385,0.9972344380468785,0.9109817004905111
work_dir/clustering_space\cls_kmeans\S_6,6,0.8320610687022901,0.9999546629188013,0.9083146297502867
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8257575757575758,1.0,0.9045643153526972
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8257575757575758,0.9991385954572245,0.9042117326394176
work_dir/clustering_space\cls_kmeans\S_9,9,0.8449612403100775,0.9704855601396382,0.9033838748626245
work_dir/clustering_space\cls_dbscan\S_20,20,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_19,19,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_18,18,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_17,17,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_16,16,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_15,15,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_14,14,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_13,13,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_12,12,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_11,11,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_10,10,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_9,9,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_8,8,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_7,7,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_6,6,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_5,5,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_5,5,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_4,4,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_4,4,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_3,3,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_3,3,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_dbscan\S_2,2,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_2,2,0.8195488721804511,1.0,0.9008264462809917
work_dir/clustering_space\cls_kmeans\S_8,8,0.8384615384615385,0.9720723579815932,0.9003369518464935
work_dir/clustering_space\cls_kmeans\S_7,7,0.8195488721804511,0.9901165162986807,0.8967943791440627
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8384615384615385,0.939928367411706,0.8863003353549543
work_dir/clustering_space\cls_kmeans\S_12,12,0.8449612403100775,0.8968128031917305,0.8701152268721997
work_dir/clustering_space\cls_kmeans\S_10,10,0.8384615384615385,0.8680690937117468,0.853008477061498
work_dir/clustering_space\cls_kmeans\S_15,15,0.8582677165354331,0.8444031373260189,0.851278978393941
work_dir/clustering_space\cls_kmeans\S_16,16,0.8650793650793651,0.8366958335222379,0.8506508979831667
work_dir/clustering_space\cls_kmeans\S_13,13,0.8515625,0.8288525184748606,0.8400540521285608
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8384615384615385,0.825316226141361,0.8318369525186171
work_dir/clustering_space\cls_kmeans\S_19,19,0.8861788617886179,0.78274470689577,0.8312565373796769
work_dir/clustering_space\cls_kmeans\S_11,11,0.8515625,0.7808858865666228,0.8146942264777706
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8384615384615385,0.7868703812848529,0.8118471586589658
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8384615384615385,0.7781656616947001,0.8071891624976029
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8384615384615385,0.7646552114974838,0.7998593802244303
work_dir/clustering_space\cls_kmeans\S_14,14,0.8515625,0.7504193680010881,0.7977980348314311
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8384615384615385,0.7136963322301311,0.7710645109177869
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8384615384615385,0.711338804007798,0.7696865352674547
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8515625,0.6922972299043387,0.7637149261959731
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8650793650793651,0.683275150745795,0.7635037422507511
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8384615384615385,0.6922972299043387,0.7584011438692113
work_dir/clustering_space\cls_hierarchical\S_19,19,0.8650793650793651,0.6317268894228589,0.7302132721074583
