ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_9,9,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_8,8,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_7,7,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_7,7,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_6,6,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_6,6,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_5,5,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_5,5,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_4,4,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_4,4,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_3,3,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_kmeans\S_3,3,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space\cls_hierarchical\S_10,10,0.9230769230769231,0.9082233502538071,0.9155898984213084
work_dir/clustering_space\cls_hierarchical\S_9,9,0.9230769230769231,0.9082233502538071,0.9155898984213084
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8333333333333334,1.0,0.9090909090909091
work_dir/clustering_space\cls_kmeans\S_2,2,0.8333333333333334,1.0,0.9090909090909091
work_dir/clustering_space\cls_dbscan\S_20,20,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_19,19,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_18,18,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_17,17,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_16,16,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_15,15,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_14,14,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_13,13,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_12,12,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_11,11,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_10,10,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_9,9,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_8,8,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_7,7,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_6,6,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_5,5,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_4,4,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_3,3,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_dbscan\S_2,2,0.821917808219178,1.0,0.9022556390977443
work_dir/clustering_space\cls_kmeans\S_8,8,0.9230769230769231,0.7693401015228426,0.8392258921897062
work_dir/clustering_space\cls_kmeans\S_10,10,0.9230769230769231,0.7364467005076142,0.8192675833639212
work_dir/clustering_space\cls_kmeans\S_12,12,0.9230769230769231,0.6850761421319796,0.7864649093840445
work_dir/clustering_space\cls_kmeans\S_11,11,0.9375,0.6769543147208121,0.7862033186866741
work_dir/clustering_space\cls_hierarchical\S_11,11,0.9230769230769231,0.6495431472081218,0.762521477449919
work_dir/clustering_space\cls_hierarchical\S_13,13,0.9230769230769231,0.6450761421319797,0.7594346669853886
work_dir/clustering_space\cls_hierarchical\S_12,12,0.9230769230769231,0.6450761421319797,0.7594346669853886
work_dir/clustering_space\cls_kmeans\S_13,13,0.9375,0.593502538071066,0.7268552671932894
work_dir/clustering_space\cls_kmeans\S_17,17,0.9230769230769231,0.5642639593908629,0.7003895953878626
work_dir/clustering_space\cls_kmeans\S_16,16,0.9523809523809523,0.48101522842639594,0.6391948680935452
work_dir/clustering_space\cls_hierarchical\S_14,14,0.9230769230769231,0.46213197969543146,0.6159119610319321
work_dir/clustering_space\cls_hierarchical\S_15,15,0.9230769230769231,0.40081218274111674,0.5589297090677425
work_dir/clustering_space\cls_hierarchical\S_16,16,0.9375,0.37949238578680206,0.5402827161564479
work_dir/clustering_space\cls_kmeans\S_14,14,0.9375,0.3786802030456853,0.5394590946343345
work_dir/clustering_space\cls_hierarchical\S_17,17,0.9375,0.37583756345177666,0.5365683972519351
work_dir/clustering_space\cls_kmeans\S_15,15,0.9230769230769231,0.3648730964467005,0.5230108778695384
work_dir/clustering_space\cls_hierarchical\S_19,19,0.9375,0.3486294416243655,0.5082538210307164
work_dir/clustering_space\cls_hierarchical\S_18,18,0.9375,0.3486294416243655,0.5082538210307164
work_dir/clustering_space\cls_hierarchical\S_20,20,0.9375,0.3386802030456853,0.49759852033053914
work_dir/clustering_space\cls_kmeans\S_19,19,0.967741935483871,0.2980710659898477,0.4557637976176924
work_dir/clustering_space\cls_kmeans\S_18,18,0.967741935483871,0.19654822335025382,0.32673634941887286
work_dir/clustering_space\cls_kmeans\S_20,20,0.9523809523809523,0.18192893401015228,0.30549967608851314
