ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_4,4,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_kmeans\S_4,4,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_hierarchical\S_3,3,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_kmeans\S_3,3,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_hierarchical\S_5,5,0.7920792079207921,0.9740566037735849,0.8736927002763345
work_dir/clustering_space\cls_kmeans\S_5,5,0.7920792079207921,0.9669811320754716,0.8708349926987919
work_dir/clustering_space\cls_hierarchical\S_6,6,0.7920792079207921,0.9457547169811321,0.862122250440064
work_dir/clustering_space\cls_kmeans\S_9,9,0.8421052631578947,0.8773584905660378,0.859370488016171
work_dir/clustering_space\cls_kmeans\S_7,7,0.8,0.9221698113207547,0.8567515749109834
work_dir/clustering_space\cls_hierarchical\S_7,7,0.7920792079207921,0.9150943396226415,0.8491546752749357
work_dir/clustering_space\cls_hierarchical\S_9,9,0.7920792079207921,0.9033018867924528,0.8440422572070024
work_dir/clustering_space\cls_hierarchical\S_8,8,0.7920792079207921,0.9033018867924528,0.8440422572070024
work_dir/clustering_space\cls_kmeans\S_2,2,0.7272727272727273,1.0,0.8421052631578948
work_dir/clustering_space\cls_dbscan\S_20,20,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_19,19,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_18,18,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_17,17,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_16,16,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_15,15,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_14,14,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_13,13,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_12,12,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_11,11,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_10,10,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_9,9,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_8,8,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_7,7,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_6,6,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_5,5,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_4,4,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_3,3,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_2,2,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_kmeans\S_8,8,0.7920792079207921,0.8514150943396226,0.820676034725281
work_dir/clustering_space\cls_kmeans\S_6,6,0.8080808080808081,0.7806603773584906,0.7941339651216842
work_dir/clustering_space\cls_hierarchical\S_10,10,0.7920792079207921,0.7759433962264151,0.783928278902143
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8163265306122449,0.7405660377358491,0.7766029802757682
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8163265306122449,0.7358490566037735,0.7740014884644008
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8163265306122449,0.7075471698113207,0.7580543272267846
work_dir/clustering_space\cls_kmeans\S_12,12,0.8163265306122449,0.6933962264150944,0.74985653255117
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8163265306122449,0.6863207547169812,0.7456997341362631
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8163265306122449,0.6863207547169812,0.7456997341362631
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8163265306122449,0.6863207547169812,0.7456997341362631
work_dir/clustering_space\cls_kmeans\S_11,11,0.8421052631578947,0.5872641509433962,0.6919669995657838
work_dir/clustering_space\cls_kmeans\S_10,10,0.8333333333333334,0.5872641509433962,0.6889872717210846
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8163265306122449,0.5825471698113207,0.6799022812510752
work_dir/clustering_space\cls_kmeans\S_13,13,0.8080808080808081,0.5495283018867925,0.6541842876445506
work_dir/clustering_space\cls_kmeans\S_16,16,0.8163265306122449,0.5424528301886793,0.6517888770811194
work_dir/clustering_space\cls_kmeans\S_14,14,0.8247422680412371,0.49528301886792453,0.6188985080125253
work_dir/clustering_space\cls_kmeans\S_17,17,0.8333333333333334,0.45047169811320753,0.5848132271892222
work_dir/clustering_space\cls_kmeans\S_18,18,0.8,0.44339622641509435,0.5705614567526556
work_dir/clustering_space\cls_kmeans\S_15,15,0.7920792079207921,0.4363207547169811,0.5626841554985267
work_dir/clustering_space\cls_kmeans\S_20,20,0.8602150537634409,0.4033018867924528,0.5491439696525701
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8163265306122449,0.39858490566037735,0.5356364644823898
work_dir/clustering_space\cls_hierarchical\S_19,19,0.8247422680412371,0.36556603773584906,0.5065876825656214
work_dir/clustering_space\cls_hierarchical\S_20,20,0.8247422680412371,0.3608490566037736,0.5020405652057996
work_dir/clustering_space\cls_kmeans\S_19,19,0.8163265306122449,0.3231132075471698,0.4629746969120939
