ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_6,6,0.8135593220338984,0.9779142707788814,0.8881975981493411
work_dir/clustering_space\cls_kmeans\S_7,7,0.8,0.9901986408782018,0.8849955469902034
work_dir/clustering_space\cls_kmeans\S_9,9,0.8,0.9814427600627287,0.8814812641215999
work_dir/clustering_space\cls_hierarchical\S_6,6,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_5,5,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_4,4,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_kmeans\S_4,4,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_3,3,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_kmeans\S_3,3,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space\cls_hierarchical\S_8,8,0.7384615384615385,0.8970203868269734,0.8100548769693751
work_dir/clustering_space\cls_hierarchical\S_7,7,0.7384615384615385,0.8970203868269734,0.8100548769693751
work_dir/clustering_space\cls_hierarchical\S_2,2,0.6666666666666666,1.0,0.8
work_dir/clustering_space\cls_kmeans\S_2,2,0.6666666666666666,1.0,0.8
work_dir/clustering_space\cls_dbscan\S_20,20,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_19,19,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_18,18,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_17,17,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_16,16,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_15,15,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_14,14,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_13,13,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_12,12,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_11,11,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_10,10,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_9,9,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_8,8,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_7,7,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_6,6,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_5,5,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_4,4,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_3,3,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_dbscan\S_2,2,0.6575342465753424,1.0,0.7933884297520661
work_dir/clustering_space\cls_hierarchical\S_9,9,0.7741935483870968,0.7801881860951385,0.7771793077636567
work_dir/clustering_space\cls_kmeans\S_5,5,0.75,0.7259539989545217,0.7377811227200283
work_dir/clustering_space\cls_kmeans\S_8,8,0.8,0.6535546262415055,0.7194001402549763
work_dir/clustering_space\cls_hierarchical\S_12,12,0.7741935483870968,0.6674072138003136,0.7168452911847704
work_dir/clustering_space\cls_hierarchical\S_11,11,0.7741935483870968,0.6674072138003136,0.7168452911847704
work_dir/clustering_space\cls_hierarchical\S_10,10,0.7741935483870968,0.6674072138003136,0.7168452911847704
work_dir/clustering_space\cls_kmeans\S_14,14,0.8888888888888888,0.5535807631991636,0.6822629353734648
