ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_4,4,1.0,1.0,1.0
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8823529411764706,1.0,0.9375
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8823529411764706,1.0,0.9375
work_dir/clustering_space\cls_kmeans\S_3,3,0.8823529411764706,1.0,0.9375
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7894736842105263,1.0,0.8823529411764706
work_dir/clustering_space\cls_kmeans\S_2,2,0.7894736842105263,1.0,0.8823529411764706
work_dir/clustering_space\cls_dbscan\S_20,20,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_19,19,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_18,18,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_17,17,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_16,16,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_15,15,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_14,14,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_13,13,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_12,12,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_11,11,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_10,10,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_9,9,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_8,8,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_7,7,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_6,6,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_5,5,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_4,4,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_3,3,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_dbscan\S_2,2,0.7142857142857143,1.0,0.8333333333333333
work_dir/clustering_space\cls_kmeans\S_5,5,0.8823529411764706,0.04062976130015236,0.07768247289205372
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8823529411764706,0.030303030303030304,0.05859375
work_dir/clustering_space\cls_kmeans\S_15,15,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_hierarchical\S_14,14,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_14,14,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_hierarchical\S_13,13,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_13,13,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_hierarchical\S_12,12,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_12,12,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_hierarchical\S_11,11,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_11,11,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_10,10,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_8,8,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_7,7,1.0,0.0223463687150838,0.04371584699453552
work_dir/clustering_space\cls_kmeans\S_9,9,0.9375,0.0223463687150838,0.043652237177155336
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_kmeans\S_6,6,0.8823529411764706,0.0223463687150838,0.04358881220486742
work_dir/clustering_space\cls_hierarchical\S_19,19,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_hierarchical\S_18,18,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_kmeans\S_18,18,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_hierarchical\S_17,17,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_hierarchical\S_16,16,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_kmeans\S_16,16,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_hierarchical\S_15,15,1.0,0.004909429490435077,0.00977088948787062
work_dir/clustering_space\cls_hierarchical\S_20,20,1.0,0.004740138818351109,0.009435551811288965
work_dir/clustering_space\cls_kmeans\S_19,19,1.0,0.004740138818351109,0.009435551811288965
work_dir/clustering_space\cls_kmeans\S_20,20,1.0,0.003978330793973252,0.007925132788129162
work_dir/clustering_space\cls_kmeans\S_17,17,1.0,0.003978330793973252,0.007925132788129162
