ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_17,17,0.875,0.9993810239632152,0.9330636458523757
work_dir/clustering_space\cls_hierarchical\S_16,16,0.875,0.9993810239632152,0.9330636458523757
work_dir/clustering_space\cls_hierarchical\S_15,15,0.875,0.9993810239632152,0.9330636458523757
work_dir/clustering_space\cls_hierarchical\S_14,14,0.875,0.9993810239632152,0.9330636458523757
work_dir/clustering_space\cls_hierarchical\S_20,20,0.875,0.9988504730745424,0.9328323433472345
work_dir/clustering_space\cls_hierarchical\S_19,19,0.875,0.9988504730745424,0.9328323433472345
work_dir/clustering_space\cls_hierarchical\S_18,18,0.875,0.9988504730745424,0.9328323433472345
work_dir/clustering_space\cls_kmeans\S_16,16,0.8682170542635659,0.9989388982226545,0.9290019791322875
work_dir/clustering_space\cls_kmeans\S_20,20,0.8704663212435233,0.9929259881510302,0.9276722113914331
work_dir/clustering_space\cls_kmeans\S_19,19,0.8549618320610687,0.9913343354850119,0.9181116600353386
work_dir/clustering_space\cls_kmeans\S_12,12,0.8463476070528967,0.9998231497037757,0.9167060274689539
work_dir/clustering_space\cls_hierarchical\S_13,13,0.84,1.0,0.9130434782608696
work_dir/clustering_space\cls_hierarchical\S_12,12,0.84,1.0,0.9130434782608696
work_dir/clustering_space\cls_kmeans\S_14,14,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_15,15,0.8275862068965517,0.9998231497037757,0.905587842200898
work_dir/clustering_space\cls_kmeans\S_17,17,0.8316831683168316,0.9867362277831815,0.90259916274076
work_dir/clustering_space\cls_kmeans\S_8,8,0.8215158924205379,1.0,0.9020134228187919
work_dir/clustering_space\cls_kmeans\S_18,18,0.8215158924205379,0.9991157485188787,0.9016535221286017
work_dir/clustering_space\cls_kmeans\S_13,13,0.8155339805825242,1.0,0.8983957219251336
work_dir/clustering_space\cls_kmeans\S_11,11,0.8155339805825242,1.0,0.8983957219251336
work_dir/clustering_space\cls_kmeans\S_9,9,0.8115942028985508,1.0,0.896
work_dir/clustering_space\cls_kmeans\S_10,10,0.8096385542168675,1.0,0.8948069241011983
work_dir/clustering_space\cls_kmeans\S_7,7,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_5,5,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_4,4,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_dbscan\S_20,20,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_19,19,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_18,18,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_17,17,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_16,16,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_15,15,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_14,14,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_13,13,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_12,12,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_11,11,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_10,10,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_9,9,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_8,8,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_7,7,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_6,6,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_6,6,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_5,5,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_4,4,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_3,3,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_3,3,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_2,2,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_2,2,0.7980997624703088,1.0,0.8877146631439894
