ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_7,7,0.9012345679012346,0.9991382011908493,0.9476644789580434
work_dir/clustering_space\cls_kmeans\S_8,8,0.9012345679012346,0.9990598558445628,0.9476292370681495
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_6,6,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_5,5,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_4,4,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_3,3,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space\cls_kmeans\S_9,9,0.8902439024390244,0.9902851770604826,0.9376035182486795
work_dir/clustering_space\cls_kmeans\S_15,15,0.8902439024390244,0.9307427138827954,0.9100429606092978
work_dir/clustering_space\cls_dbscan\S_20,20,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_19,19,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_18,18,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_17,17,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_16,16,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_15,15,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_14,14,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_13,13,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_12,12,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_11,11,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_10,10,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_9,9,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_8,8,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_7,7,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_6,6,0.8021978021978022,1.0,0.8902439024390244
work_dir/clustering_space\cls_dbscan\S_5,5,0.8021978021978022,1.0,0.8902439024390244
