ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_hierarchical\S_11,11,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space\cls_hierarchical\S_10,10,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space\cls_hierarchical\S_9,9,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space\cls_kmeans\S_9,9,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space\cls_kmeans\S_10,10,0.9,1.0,0.9473684210526316
work_dir/clustering_space\cls_hierarchical\S_8,8,0.9,1.0,0.9473684210526316
work_dir/clustering_space\cls_kmeans\S_8,8,0.9,1.0,0.9473684210526316
work_dir/clustering_space\cls_hierarchical\S_7,7,0.9,1.0,0.9473684210526316
work_dir/clustering_space\cls_kmeans\S_7,7,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_kmeans\S_5,5,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_kmeans\S_4,4,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_kmeans\S_3,3,0.8181818181818182,1.0,0.9
work_dir/clustering_space\cls_hierarchical\S_3,3,0.782608695652174,1.0,0.878048780487805
work_dir/clustering_space\cls_hierarchical\S_2,2,0.6666666666666666,1.0,0.8
work_dir/clustering_space\cls_kmeans\S_2,2,0.6666666666666666,1.0,0.8
work_dir/clustering_space\cls_kmeans\S_6,6,0.8181818181818182,0.7538819875776398,0.7847169218336103
work_dir/clustering_space\cls_dbscan\S_20,20,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_19,19,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_18,18,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_17,17,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_16,16,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_15,15,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_14,14,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_13,13,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_12,12,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_11,11,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_10,10,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_9,9,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_8,8,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_7,7,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_6,6,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_5,5,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_4,4,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_3,3,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_dbscan\S_2,2,0.5806451612903226,1.0,0.7346938775510204
work_dir/clustering_space\cls_kmeans\S_11,11,0.8571428571428571,0.30201863354037267,0.4466558224093388
work_dir/clustering_space\cls_hierarchical\S_12,12,0.9473684210526315,0.25854037267080743,0.40622140896614817
work_dir/clustering_space\cls_kmeans\S_12,12,0.9,0.19914596273291926,0.326128417037508
work_dir/clustering_space\cls_kmeans\S_13,13,0.9,0.0562888198757764,0.10595112446212553
work_dir/clustering_space\cls_hierarchical\S_14,14,0.9473684210526315,0.055900621118012424,0.10557184750733137
work_dir/clustering_space\cls_hierarchical\S_13,13,0.9473684210526315,0.055900621118012424,0.10557184750733137
work_dir/clustering_space\cls_kmeans\S_18,18,0.9473684210526315,0.03299689440993789,0.06377258612425234
work_dir/clustering_space\cls_kmeans\S_15,15,0.8571428571428571,0.03299689440993789,0.06354744252694536
work_dir/clustering_space\cls_hierarchical\S_15,15,0.9473684210526315,0.031444099378881984,0.06086793161750892
work_dir/clustering_space\cls_hierarchical\S_17,17,0.9473684210526315,0.031055900621118012,0.06014032743067157
work_dir/clustering_space\cls_hierarchical\S_16,16,0.9473684210526315,0.031055900621118012,0.06014032743067157
work_dir/clustering_space\cls_kmeans\S_14,14,0.9473684210526315,0.027562111801242236,0.053565815118301656
work_dir/clustering_space\cls_hierarchical\S_20,20,1.0,0.01436335403726708,0.02831993876769996
work_dir/clustering_space\cls_hierarchical\S_19,19,1.0,0.01436335403726708,0.02831993876769996
work_dir/clustering_space\cls_kmeans\S_19,19,1.0,0.01436335403726708,0.02831993876769996
work_dir/clustering_space\cls_hierarchical\S_18,18,1.0,0.01436335403726708,0.02831993876769996
work_dir/clustering_space\cls_kmeans\S_17,17,1.0,0.01281055900621118,0.025297048677654276
work_dir/clustering_space\cls_kmeans\S_20,20,1.0,0.010869565217391304,0.02150537634408602
work_dir/clustering_space\cls_kmeans\S_16,16,1.0,0.007375776397515528,0.01464354527938343
